title,desc,genre,media,len,sent_len,ECD,ECE,ECS,EFA,EFI,EFN,EFO,EFQ,EMO,EPH,EPT,ETD,ETN,IC,JC,JKC,JKG,JKI,JKM,JKO,JKQ,JKS,JX,MAC,MAG,MDN,MDT,NNB,NNG,NNM,NNP,NP,NR,OH,OL,SE,SF,SO,SP,SS,SW,UN,VA,VCN,VCP,VV,VX,VXA,VXV,XPN,XR,XSA,XSN,XSV,sent_num
아이 좀비,전도유망한 의과 레지던트가 어느 날 갑자기 좀비가 되어 생기는 이야기를 그린 드라마,드라마,naver,46,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Z 네이션,"좀비 바이러스가 세상을 휩쓸고 간 3년 후, 바이러스 백신을 만들 것이라는 유일한 희망으로 죽음과 공포의 여정에 오른 사람들의 이야기를 그린 액션 호러 드라마",드라마,naver,88,88.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
4월은 너의 거짓말,엄마의 죽음으로 피아노를 칠 수 없게 된 천재 소년이 목표도 없이 지내던 중 친구의 들러리로 나가게 된 데이트로 인해 인생이 바뀌어 가는 이야기,드라마,naver,80,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
와일드 알래스카,미국에서 가장 넓은 주인 알래스카의 울퉁불퉁한 해안에는 신기한 야생동물들이 서식하고 있다. 한겨울에 접어들어 해안이 어둠에 갇히기 전에 이곳의 동물들은 마음껏 햇살을 만끽한다. 위험천만한 알래스카 해안에서 펼쳐진 혹독한 환경을 이겨내며 살아가는 동물들을 만나본다.,드라마,naver,147,51.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,4.666666666666667,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,3
불야성,잠들지 않는 탐욕의 불빛들이 그 빛의 주인이 되기 위해 치열한 전쟁을 벌이는 과정을 그려낸 드라마,드라마,naver,54,54.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
남자가 사랑할때,인생의 한 순간 뜨거운 열풍에 휩싸인 주인공들의 사랑을 그린 치정 멜로드라마,드라마,naver,42,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
호프 밸리,젊은 여교사가 서부의 작은 탄광촌에서 아이들을 가르치게 되면서 일어나는 이야기,드라마,naver,43,43.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
벡스트,엉뚱하고 게으르지만 남다른 재치가 있는 잭과 아름답고 똑똑하지만 허당 기질이 다분한 조지나의 좌충우돌 수사 일기,드라마,naver,62,63.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1
베르사유,루이 14세가 왕정 확립을 위해 파리에서 베르사유로 권력을 이동시키려 하며 벌어지는 귀족들과의 갈등을 그린 드라마,드라마,naver,63,67.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
터치,빚쟁이 실업자로 전락한 메이크업 아티스트와 아이돌 데뷔에 실패한 연습생이 만나 새로운 꿈을 찾아가는 로맨틱 코미디 드라마,드라마,naver,67,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
Top Boy,이스트 런던에 있는 가상의 도시에서 마약 거래와 거리 갱에 관여하는 젊은이들의 삶의 모습을 그린 드라마,드라마,naver,57,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
뱀파이어 다이어리,뉴욕 외곽도시의 한 고등학교를 배경으로 두 뱀파이어 형제와 인간 소녀의 로맨스를 그린 이야기,드라마,naver,51,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
제3의 매력,"특별하지 않지만 내 눈에는 반짝거리는 서로의 '제3의 매력'에 빠진 두 남녀가 스물의 봄, 스물일곱의 여름, 서른둘의 가을과 겨울을 함께 통과하는 연애의 사계절을 그릴 12년의 연애 대서사시",드라마,naver,106,109.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
